"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"251","WB",1988,1988,6,21,0.05,107,1.9,0.396,"25.3","35.9"
"252","EB",1988,1988,6,21,2.1,110,NA,0,"V","40.7"
"253","EB",1988,1988,6,28,0.05,115,1.3,0,"32.2","74.5"
"254","EB",1988,1988,6,28,0.6,113,1.3,0,"30.0","74.4"
"255","WB",1988,1988,6,28,0.05,103,1.2,0.226,"26.5","36.6"
"256","WB",1988,1988,6,28,0.05,102,1.2,0.226,"26.4","36.8"
"257","WB",1988,1988,7,5,0.05,103,1.9,0.311,"28.1","35.3"
"258","WB",1988,1988,7,12,1,104,1.5,0.226,"31.1","49.3"
"259","WB",1988,1988,7,12,1.1,103,1.5,0.226,"30.9","49.4"
"260","WB",1988,1988,7,19,0.8,99,1.3,0.17,"27.0","58.7"
"261","WB",1988,1988,7,19,0.8,99,1.2,0.17,"27.0","59.2"
"262","WB",1988,1988,7,21,1.7,97,1.8,0.113,"30.3","63.4"
"263","WB",1988,1988,7,21,1.4,97,2,0.113,"30.3","61.5"
"264","WB",1988,1988,7,21,1.2,96,1.8,0.17,"29.4","60.3"
"265","WB",1988,1988,7,22,0.5,92,2.7,0.623,"26.4","43.8"
"266","WB",1988,1988,7,22,0.05,100,2.3,0.764,"27.4","37.9"
"267","WB",1988,1988,7,22,0.05,100,2.1,0.396,"28.2","32.5"
"268","WB",1988,1988,7,23,0.05,100,1.9,0.396,"29.8","43.3"
"269","WB",1988,1988,7,23,0.05,99,2,0.311,"29.6","37.3"
"270","WB",1988,1988,7,23,0.5,99,1.9,0.17,"29.7","45.5"
"271","WB",1988,1988,7,24,0.6,99,1.6,0.17,"29.2","51.7"
"272","WB",1988,1988,7,24,0.05,85,2.8,0.764,"25.0","45.8"
"273","WB",1988,1988,7,24,0.05,102,2.5,1.699,"26.5","31.8"
"274","WB",1988,1988,7,25,0.05,104,2.2,0.906,"26.5","33.7"
"275","WB",1988,1988,7,25,0.05,103,2.1,0.764,"27.0","35.0"
"276","WB",1988,1988,7,25,0.05,102,2,0.623,"27.4","37.7"
"277","WB",1988,1988,7,26,0.05,102,1.8,0.51,"28.2","39.1"
"278","WB",1988,1988,7,26,0.05,103,2,0.51,"28.8","37.5"
"279","WB",1988,1988,7,26,0.05,103,2,0.51,"28.7","38.1"
"280","WB",1988,1988,8,2,1,105,2,0.226,"26.7","44.3"
"281","WB",1988,1988,8,2,0.8,105,1.9,0.226,"26.5","46.4"
"282","WB",1988,1988,8,9,1.8,101,1.7,0.226,"26.7","51.2"
"283","WB",1988,1988,8,9,1.8,100,1.9,0.226,"26.1","52.7"
"284","EB",1988,1988,8,16,6.5,113,2.8,0,"31.1","43.2"
"285","WB",1988,1988,8,16,1,96,1.6,0.226,"28.2","51.5"
"286","EB",1988,1988,8,29,4.4,114,1.9,0,"28.4","40.1"
"287","WB",1988,1988,8,29,0.6,102,1.7,0.396,"24.6","53.4"
"288","EB",1988,1988,8,29,4.8,114,2.1,0,"27.6","41.6"
"289","WB",1988,1988,8,29,0.5,101,1.9,0.396,"24.7","42.4"
"290","EB",1988,1988,8,30,8.8,102,3.4,0.368,"25.2","35.7"
"291","WB",1988,1988,8,30,0.3,NA,2.9,0.764,"21.6","36.7"
"292","EB",1988,1988,8,30,10.1,109,3.1,9.625,"24.4","16.8"
"293","WB",1988,1988,8,30,4.7,110,3.6,8.974,"<RL","33.6"
"294","EB",1988,1988,8,30,6.4,115,2.5,4.699,"25.9","22.5"
"295","EB",1988,1988,8,30,6.1,115,2.4,4.699,"26.0","22.1"
"296","WB",1988,1988,8,30,5.8,114,2.6,6.115,"27.5","26.2"
"297","EB",1988,1988,8,30,6.3,114,2.3,3.878,"26.0","17.9"
"298","EB",1988,1988,8,30,3.5,115,2.7,2.236,"24.7","18.1"
"299","WB",1988,1988,8,30,3,113,2.2,3.51,"24.1","27.4"
"300","WB",1988,1988,8,31,0.3,112,2,1.472,"23.2","32.1"
"301","EB",1988,1988,8,31,0.5,116,2.2,0.396,"23.7","20.9"
"302","EB",1988,1988,8,31,1.3,116,2.3,0.311,"23.5","19.9"
"303","EB",1988,1988,9,1,0.8,116,2,0.198,"24.0","24.9"
"304","WB",1988,1988,9,1,0.2,112,2.3,0.396,"23.7","36.4"
"305","WB",1988,1988,9,6,0.05,111,1.6,0.764,"24.4","30.3"
"306","EB",1988,1988,9,6,0.05,117,1.5,0.51,"26.8","48.6"
"307","WB",1988,1989,10,11,3.9,122,2.4,2.52,"29.0","30.1"
"308","WB",1988,1989,10,11,4.3,122,2.4,2.52,"29.3","31.4"
"309","EB",1988,1989,10,11,4.1,124,1.9,1.699,"28.9","23.7"
"310","EB",1988,1989,10,11,3.5,125,2,1.699,"28.7","25.4"
"311","EB",1988,1989,10,11,3.4,125,2,1.953,"29.0","24.1"
"312","WB",1988,1989,10,18,0.05,114,1.5,0.764,"30.0","37.3"
"313","WB",1988,1989,10,18,0.05,116,1.5,0.764,"30.3","37.4"
"314","EB",1988,1989,10,18,0.05,122,1.8,0.396,"34.2","55.9"
"315","EB",1988,1989,10,22,0.05,121,1.7,0.906,"29.9","21.1"
"316","WB",1988,1989,10,22,0.05,119,1.6,1.076,"25.2","31.2"
"317","EB",1988,1989,10,22,8.3,117,3.2,19.675,"27.4","11.4"
"318","WB",1988,1989,10,22,15.7,118,2.9,21.77,"26.6","15.6"
"319","EB",1988,1989,10,23,11.2,118,3.2,24.007,"27.3","8.3"
"320","WB",1988,1989,10,23,21.9,115,2.2,19.675,"26.7","11.7"
"321","EB",1988,1989,10,24,5.4,114,2.9,7.162,"26.2","11.9"
"322","WB",1988,1989,10,24,9.4,113,2.4,6.625,"25.5","15.3"
"323","EB",1988,1989,10,25,10,113,3.4,32.925,"26.2","5.8"
"324","WB",1988,1989,10,25,17.3,115,2.6,30.207,"25.8","8.2"
"325","EB",1988,1989,10,25,10.6,113,2.9,19.675,"31.5","1.6"
"326","EB",1988,1989,10,25,10.1,113,2.8,19.675,"28.0","5.5"
