"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"5561","EB",2002,2003,12,14,1.9,82,2.7,3.68,"24.8","4.8"
"5562","WB",2002,2003,12,14,8.1,149,3.2,3.878,"34.7","-5.4"
"5563","EB",2002,2003,12,14,2.6,79,3.6,25.875,"22.5","1.5"
"5564","WB",2002,2003,12,14,9.1,150,3.7,20.893,"37.7","-7.0"
"5565","WB",2002,2003,12,14,0.2,180,3.9,45.296,"42.8","-10.0"
"5566","EB",2002,2003,12,14,3.4,80,4.2,56.054,"22.0","-0.6"
"5567","EB",2002,2003,12,14,3,79,4,58.319,"22.9","-1.2"
"5568","EB",2002,2003,12,15,1.2,82,3.4,30.009,"22.1","-2.1"
"5569","WB",2002,2003,12,15,18.8,203,3.1,26.583,"45.5","-10.6"
"5570","EB",2002,2003,12,16,0.2,85,2.8,7.502,"22.6","-0.4"
"5571","WB",2002,2003,12,16,17.7,196,3.2,7.247,"43.6","-9.8"
"5572","EB",2002,2003,12,20,0.05,86,2.8,3.369,"21.5","2.3"
"5573","WB",2002,2003,12,20,13.6,176,1.9,3.114,"37.5","-6.3"
"5574","EB",2002,2003,12,20,0.05,82,2.9,21.884,"21.1","0.7"
"5575","WB",2002,2003,12,20,12.4,172,3,17.326,"37.0","-7.9"
"5576","EB",2002,2003,12,21,1.1,72,5.4,NA,"20.1","-2.0"
"5577","WB",2002,2003,12,21,12.9,154,5.5,134.189,"35.2","-11.1"
"5578","EB",2002,2003,12,21,0.05,82,3.1,18.543,"20.2","-1.8"
"5579","WB",2002,2003,12,21,13.4,148,4,15.74,"35.1","-7.0"
"5580","EB",2002,2003,12,24,0.2,85,2.6,4.841,"20.8","2.1"
"5581","WB",2002,2003,12,24,18.7,188,2.5,3.878,"34.0","-5.7"
"5582","EB",2003,2003,1,14,0.05,91,2,0.906,"24.2","4.2"
"5583","WB",2003,2003,1,14,13,171,1.7,1.161,"38.0","-2.8"
"5584","EB",2003,2003,3,4,1,93,2.1,1.727,"23.8","6.4"
"5585","WB",2003,2003,3,4,20,161,1.5,1.472,"37.6","-2.3"
"5586","EB",2003,2003,3,18,3,93,1.8,1.925,"24.2","7.7"
"5587","WB",2003,2003,3,18,18,167,1.5,1.642,"39.1","-2.2"
"5588","EB",2003,2003,3,21,9,83,2.6,17.156,"21.5","3.8"
"5589","WB",2003,2003,3,21,23,148,2.6,11.55,"35.2","-1.0"
"5590","EB",2003,2003,3,23,2,85,2.6,23.78,"20.7","1.7"
"5591","WB",2003,2003,3,23,27,186,2.7,21.969,"39.8","-3.3"
"5592","EB",2003,2003,3,25,1,89,2.4,7.842,"22.1","3.9"
"5593","WB",2003,2003,3,25,28,193,1.9,6.936,"44.0","-5.2"
"5594","EB",2003,2003,3,27,4,96,2.3,25.989,"20.8","1.4"
"5595","WB",2003,2003,3,27,25,182,2.2,21.799,"39.2","-4.8"
"5596","EB",2003,2003,3,30,1,78,3.2,51.807,"19.5","0.5"
"5597","EB",2003,2003,4,1,0.05,83,2.4,9.824,"20.5","0.5"
"5598","WB",2003,2003,4,1,30,190,2,9.286,"42.2","-5.1"
"5599","EB",2003,2003,4,4,0.05,87,2.2,3.85,"20.3","2.7"
"5600","WB",2003,2003,4,4,26,179,1.8,3.963,"39.4","-3.2"
"5601","EB",2003,2003,4,6,0.05,87,2.2,2.888,"20.6","4.1"
"5602","WB",2003,2003,4,6,24,172,1.9,3.086,"38.4","-3.2"
"5603","EB",2003,2003,4,11,0.05,88,2.3,5.039,"20.4","1.9"
"5604","WB",2003,2003,4,11,19,128,1.9,4.19,"38.3","-3.5"
"5605","EB",2003,2003,4,13,0.05,86,2.3,14.042,"19.3","1.1"
"5606","WB",2003,2003,4,13,31,189,2,12.371,"41.1","-4.5"
"5607","EB",2003,2003,4,15,0.05,87,2.2,8.38,"19.7","3.1"
"5608","WB",2003,2003,4,15,27,188,2,7.191,"39.9","-3.0"
"5609","EB",2003,2003,4,18,0.05,87,2.3,5.464,"19.3","2.1"
"5610","WB",2003,2003,4,18,25,190,2,5.294,"38.5","-0.2"
"5611","EB",2003,2003,4,20,0.05,88,2.4,5.266,"19.2","0.8"
"5612","WB",2003,2003,4,20,23,200,2,5.86,"39.9","-2.0"
"5613","EB",2003,2003,4,25,0.05,89,2.4,6.964,"19.8","0.7"
"5614","WB",2003,2003,4,25,20,196,1.8,6.568,"38.8","-1.4"
"5615","WB",2003,2003,4,27,20,192,1.8,9.427,"38.9","-3.3"
"5616","EB",2003,2003,4,29,0.05,89,2,5.124,"20.4","2.7"
"5617","WB",2003,2003,4,29,18,190,1.6,4.784,"38.2","-3.3"
"5618","EB",2003,2003,5,13,0.05,92,1.9,4.36,"20.4","3.5"
"5619","WB",2003,2003,5,13,10,186,2,4.02,"36.4","-2.4"
"5620","EB",2003,2003,5,27,0.05,94,2,6.766,"20.5","4.3"
"5621","WB",2003,2003,5,27,4,180,1.5,5.804,"35.2","-2.0"
"5622","EB",2003,2003,6,2,0.05,87,3.5,20.128,"18.1","5.0"
"5623","WB",2003,2003,6,2,7,182,2.7,22.195,"17.6","-5.7"
"5624","EB",2003,2003,6,4,0.05,94,2,4.077,"19.8","4.9"
"5625","WB",2003,2003,6,4,4,189,1.8,4.077,"35.6","-3.5"
"5626","EB",2003,2003,6,17,1,96,2.9,2.491,"20.4","8.4"
"5627","WB",2003,2003,6,17,2,183,1.5,2.406,"34.0","-0.9"
"5628","WB",2003,2003,9,30,0.05,157,1.9,0.991,"34.6","0.2"
"5629","EB",2003,2004,10,21,0.05,86,NA,7.078,"23.9","1.7"
"5630","WB",2003,2004,10,21,0.05,191,NA,6.851,"38.5","-8.2"
"5631","WB",2003,2004,10,21,0.05,190,NA,6.851,NA,NA
"5632","EB",2003,2004,10,21,0.05,76,NA,14.608,"24.7","4.0"
"5633","WB",2003,2004,10,21,5,181,NA,14.381,"39.8","-8.8"
"5634","EB",2003,2004,10,21,0.05,78,NA,25.649,"23.9","1.2"
"5635","WB",2003,2004,10,21,3,200,NA,25.422,"41.4","-11.0"
"5636","EB",2003,2004,10,27,NA,81,NA,31.424,NA,NA
"5637","EB",2003,2004,10,27,0.05,81,NA,38.218,"25.0","0.2"
"5638","WB",2003,2004,10,27,2,187,NA,29.725,"41.2","-13.0"
"5639","EB",2003,2004,10,27,0.05,78,NA,52.374,"24.3","-0.7"
"5640","WB",2003,2004,10,27,2,184,NA,46.995,"41.0","-14.0"
"5641","EB",2003,2004,10,28,0.05,74,NA,126.263,"23.8","1.4"
"5642","WB",2003,2004,10,28,4,185,NA,102.765,"41.1","-16.0"
"5643","EB",2003,2004,10,28,0.05,78,NA,33.406,"23.7","-1.6"
"5644","EB",2003,2004,10,28,NA,NA,NA,33.406,NA,"-0.8"
"5645","WB",2003,2004,10,28,4,202,NA,35.954,"43.3","-13.0"
"5646","WB",2003,2004,10,28,NA,NA,NA,35.954,NA,"-13.0"
"5647","EB",2003,2004,10,29,0.05,80,NA,35.671,"22.5","-0.9"
"5648","WB",2003,2004,10,29,2,199,NA,31.707,"40.2","-14.0"
"5649","EB",2003,2004,10,29,0.05,78,NA,60.3,"22.5","-2.0"
"5650","WB",2003,2004,10,29,2,190,NA,46.995,"39.9","-17.0"
"5651","EB",2003,2004,10,29,0.05,78,NA,82.382,"22.3","-1.7"
"5652","WB",2003,2004,10,29,2,197,NA,74.738,"40.0","-17.0"
"5653","EB",2003,2004,10,30,0.05,80,NA,34.538,"22.6","-3.0"
"5654","WB",2003,2004,10,30,3,196,NA,31.99,"40.7","-13.0"
"5655","EB",2003,2004,11,4,0.05,88,NA,3.963,"22.5","2.1"
"5656","WB",2003,2004,11,4,1,202,NA,4.105,"37.4","-10.0"
"5657","EB",2003,2004,11,11,0.05,88,NA,2.746,"23.2","5.9"
"5658","WB",2003,2004,11,11,2,190,NA,2.746,"36.4","-5.9"
"5659","EB",2003,2004,11,13,0.05,83,NA,38.218,"23.1","5.0"
"5660","WB",2003,2004,11,13,6,172,NA,37.369,"37.4","-5.5"
"5661","EB",2003,2004,11,13,0.05,84,NA,29.725,"22.5","3.6"
"5662","EB",2003,2004,11,18,0.05,82,NA,3.595,"23.2","5.6"
"5663","WB",2003,2004,11,18,4,185,NA,5.039,"38.2","-4.7"
"5664","EB",2003,2004,11,20,0.05,75,NA,41.616,"22.9","1.8"
"5665","WB",2003,2004,11,20,4,155,NA,42.465,"35.1","-8.4"
"5666","EB",2003,2004,11,20,0.05,73,NA,89.743,"23.0","0.5"
"5667","WB",2003,2004,11,20,6,152,NA,86.062,"35.1","-7.8"
"5668","EB",2003,2004,11,21,0.05,78,NA,27.715,"22.2","0.2"
"5669","WB",2003,2004,11,21,4,113,NA,28.876,"29.6","0.8"
"5670","EB",2003,2004,11,25,0.05,83,NA,5.747,"22.7","2.2"
"5671","EB",2003,2004,11,25,NA,82,NA,5.747,NA,NA
"5672","WB",2003,2004,11,25,5,179,NA,4.954,"38.1","-5.9"
"5673","EB",2003,2004,11,29,0.05,78,NA,38.785,"21.7","-0.5"
"5674","WB",2003,2004,11,29,6,169,NA,32.556,"36.5","-8.4"
"5675","EB",2003,2004,12,2,0.05,83,NA,4.558,"22.2","3.2"
"5676","WB",2003,2004,12,2,7,182,NA,4.275,"37.6","-5.9"
"5677","EB",2003,2004,12,12,1,80,NA,60.583,"22.6","-4.7"
"5678","WB",2003,2004,12,12,10,178,NA,26.951,"40.5","-6.1"
"5679","EB",2003,2004,12,16,0.05,92,NA,2.973,"22.6","0.1"
"5680","WB",2003,2004,12,16,22,202,NA,3.142,"40.0","-6.1"
"5681","EB",2003,2004,12,17,1,75,NA,2.661,"21.9","-1.2"
"5682","WB",2003,2004,12,17,22,165,NA,2.859,"39.9","-11.0"
"5683","EB",2003,2004,12,24,1,74,NA,4.699,"21.1","-0.7"
"5684","WB",2003,2004,12,24,18,160,NA,3.878,"36.1","-9.2"
"5685","EB",2003,2004,12,30,0.05,86,NA,4.388,"21.9","2.6"
"5686","WB",2003,2004,12,30,19,189,NA,4.416,"38.0","-4.9"
"5687","WB",2004,2004,1,8,15.4,173,NA,22.082,"39.1","-5.1"
"5688","EB",2004,2004,3,30,1.4,84,1.7,6.313,"21.8","3.7"
"5689","EB",2004,2004,4,6,0.5,87,NA,4.048,"22.0","4.5"
"5690","EB",2004,2004,4,6,NA,NA,NA,4.048,NA,"5.2"
"5691","WB",2004,2004,4,6,37.9,177,NA,3.624,"40.2","-4.4"
"5692","WB",2004,2004,4,6,NA,NA,NA,3.624,NA,"-5.6"
"5693","EB",2004,2004,4,13,0.05,87,NA,3.142,"21.8","5.1"
"5694","WB",2004,2004,4,13,38.3,182,NA,2.973,"39.1","-2.9"
"5695","WB",2004,2004,4,13,NA,NA,NA,2.973,NA,"-4.0"
"5696","WB",2004,2004,4,14,39.3,193,2.6,29.442,"42.2","-7.0"
"5697","WB",2004,2004,4,15,41.1,203,2.9,NA,"44.1","-8.9"
"5698","WB",2004,2004,4,15,41.3,198,2.6,42.748,"43.6","-8.9"
"5699","WB",2004,2004,4,20,27.7,176,1.7,3.482,"40.0","-10.2"
"5700","WB",2004,2004,4,20,34,181,1.7,3.482,"38.9","-6.4"
"5701","EB",2004,2004,4,20,0.1,88,2.1,3.822,"21.8","6.3"
"5702","EB",2004,2004,4,27,0.05,90,1.8,3.539,"22.0","4.2"
"5703","WB",2004,2004,4,27,23.7,174,1.4,3.057,"36.6","-5.1"
"5704","WB",2004,2004,4,27,24.3,175,NA,3.057,NA,NA
"5705","WB",2004,2004,4,27,27,197,1.6,3.114,"41.2","-10.9"
"5706","EB",2004,2004,4,27,0.3,83,2.3,3.709,"22.6","-6.9"
"5707","EB",2004,2004,5,4,0.05,86,2.1,13.759,"21.5","2.3"
"5708","EB",2004,2004,5,4,NA,NA,NA,13.759,NA,"1.8"
"5709","WB",2004,2004,5,4,27.8,182,1.7,13.391,"38.7","-6.9"
"5710","EB",2004,2004,5,13,0.05,97,1.8,1.727,"22.7","5.1"
"5711","EB",2004,2004,5,13,NA,NA,NA,1.727,NA,"5.6"
"5712","WB",2004,2004,5,13,10.6,173,1.5,1.727,"36.5","-5.9"
"5713","WB",2004,2004,5,13,10.1,187,NA,1.727,"36.5",NA
"5714","EB",2004,2004,5,25,0.05,92,2,11.409,"21.3","2.0"
"5715","EB",2004,2004,5,25,0.05,92,2,11.409,"21.6","-0.2"
"5716","WB",2004,2004,5,25,11.2,193,1.6,9.767,"38.0","-6.4"
"5717","WB",2004,2004,5,25,11.2,193,NA,9.767,NA,NA
"5718","EB",2004,2004,6,8,0.05,100,1.8,1.84,"22.7","6.0"
"5719","WB",2004,2004,6,8,1.9,178,1.5,1.699,"35.8","-8.5"
"5720","EB",2004,2004,6,29,0.05,93,1.7,0.34,"23.6","11.0"
"5721","EB",2004,2004,6,29,NA,NA,NA,0.34,NA,"10.7"
"5722","WB",2004,2004,6,29,0.1,160,1.4,0.538,"32.7","-3.4"
"5723","EB",2004,2004,7,28,1.6,96,2.7,12.853,"22.5","11.3"
"5724","EB",2004,2004,7,28,0.05,84,4.2,21.657,"20.1","12.4"
"5725","WB",2004,2004,7,28,2.4,169,3.4,18.43,"31.5","-2.7"
"5726","EB",2004,2004,7,29,0.05,89,2.6,NA,"19.9","4.8"
"5727","EB",2004,2004,7,30,0.05,90,2.1,3.595,"20.5","7.8"
"5728","EB",2004,2004,7,30,0.05,93,NA,3.595,NA,"9.3"
"5729","WB",2004,2004,7,30,0.05,182,1.6,2.944,"34.5","-5.5"
"5730","WB",2004,2004,7,30,NA,NA,NA,2.944,NA,"-5.5"
"5731","EB",2004,2004,8,13,0.05,87,3.4,11.239,"22.0","13.4"
"5732","EB",2004,2004,8,14,0.05,86,3,12.315,"21.1","9.6"
"5733","EB",2004,2004,8,14,0.05,89,2.5,11.381,"21.2","8.4"
"5734","EB",2004,2004,8,17,0.05,92,1.9,2.236,"21.6","11.5"
"5735","WB",2004,2004,8,17,0.05,186,1.5,1.953,"35.0","-5.7"
"5736","WB",2004,2004,8,17,0.05,187,1.5,1.953,"35.5","-7.8"
"5737","EB",2004,2004,8,21,0.05,90,3.7,25.422,"20.8","14.8"
"5738","WB",2004,2004,8,21,3.6,183,3,22.053,"33.6","-5.7"
"5739","WB",2004,2004,8,22,0.3,199,2.2,16.023,"37.0","-17.8"
"5740","EB",2004,2004,8,22,0.05,93,2.7,11.267,"20.1","5.2"
"5741","EB",2004,2004,8,31,0.05,91,2.9,2.859,"20.9","11.7"
"5742","WB",2004,2004,8,31,0.05,171,1.8,5.407,"33.0","-5.1"
"5743","WB",2004,2004,8,31,NA,NA,NA,5.407,NA,"-4.9"
"5744","EB",2004,2004,9,15,0.05,102,1.9,0.906,"23.4","5.1"
"5745","WB",2004,2004,9,15,0.05,180,1.4,0.906,"34.9","-6.8"
"5746","EB",2004,2004,9,22,0.05,91,1.8,1.104,"22.5","13.1"
"5747","WB",2004,2004,9,22,0.05,180,1.4,1.019,"34.3","-1.5"
"5748","EB",2004,2004,9,29,0.05,95,1.8,0.566,"24.7","17.1"
"5749","WB",2004,2004,9,29,0.05,175,1.5,0.651,"35.0","-0.1"
"5750","WB",2004,2004,9,29,NA,NA,NA,0.651,NA,"-0.8"
"5751","EB",2004,2005,10,13,0.05,97,1.9,0.538,"24.4","15.5"
"5752","EB",2004,2005,10,13,0.05,97,1.9,0.538,"24.6","16.4"
"5753","WB",2004,2005,10,13,0.05,172,1.6,0.679,"34.4","0.6"
"5754","EB",2004,2005,10,20,0.05,92,1.8,1.585,"23.1","12.2"
"5755","WB",2004,2005,10,20,0.05,182,1.4,1.529,"34.5","2.0"
"5756","EB",2004,2005,11,3,0.05,95,1.9,4.247,"22.6","4.9"
"5757","EB",2004,2005,11,3,NA,NA,NA,4.247,NA,"5.8"
"5758","WB",2004,2005,11,3,0.05,177,1.4,2.888,"33.5","-11.7"
"5759","WB",2004,2005,11,10,0.05,183,1.2,1.529,"35.3","-6.5"
"5760","EB",2004,2005,11,10,0.05,93,1.5,1.529,"22.6","2.2"
"5761","WB",2004,2005,11,23,1.1,177,1.1,0.878,"33.9","-5.8"
"5762","EB",2004,2005,11,23,0.05,96,1.4,0.679,"23.0","2.1"
"5763","EB",2004,2005,11,29,0.3,75,5.1,90.224,"23.4","0.4"
"5764","EB",2004,2005,11,29,0.2,78,3.1,26.894,"23.0","-2.7"
"5765","EB",2004,2005,12,1,0.1,78,2.9,48.184,"21.6","-1.4"
"5766","EB",2004,2005,12,2,0.1,77,2.8,28.763,"21.8","-3.6"
"5767","EB",2004,2005,12,3,0.05,83,2,7.502,"22.3","-1.0"
"5768","WB",2004,2005,12,3,24.3,183,1.7,7.615,"39.5","-12.7"
"5769","WB",2004,2005,12,3,25.7,199,2,7.615,"42.2","-17.3"
"5770","WB",2004,2005,12,3,NA,NA,NA,7.615,NA,"-13.9"
"5771","EB",2004,2005,12,3,0.1,77,2.8,6.993,"23.3","-15.2"
"5772","EB",2004,2005,12,20,0.3,88,1.5,1.274,"22.7","7.4"
"5773","EB",2004,2005,12,20,NA,NA,NA,1.274,NA,"6.4"
"5774","WB",2004,2005,12,20,13.1,167,1.2,1.642,"35.5","-9.5"
"5775","EB",2004,2005,12,24,24.2,164,1.4,37.737,"36.7","-5.5"
"5776","EB",2004,2005,12,24,3.6,79,2.8,40.993,"23.8","1.8"
"5777","EB",2004,2005,12,24,3.3,79,2.7,36.831,"23.8","-0.1"
"5778","EB",2005,2005,1,13,0.5,89,1.4,0.849,"23.1","7.0"
"5779","EB",2005,2005,1,13,0.5,89,NA,0.849,NA,NA
"5780","WB",2005,2005,1,13,22.7,163,1.1,1.246,"35.4","-6.6"
"5781","WB",2005,2005,1,13,22.5,163,NA,1.246,NA,NA
"5782","EB",2005,2005,1,25,0.05,88,1.4,1.132,"23.1","6.1"
"5783","WB",2005,2005,1,25,29.6,163,1.2,1.472,"37.6","-12.9"
"5784","WB",2005,2005,1,25,NA,NA,NA,1.472,NA,"-12.9"
"5785","WB",2005,2005,2,8,20.5,156,1.2,0.849,"34.6","-8.1"
"5786","WB",2005,2005,2,8,20.8,156,1.1,0.849,"34.6","-10.7"
"5787","EB",2005,2005,2,8,0.4,90,1.4,0.651,"23.4","7.7"
"5788","EB",2005,2005,2,8,NA,NA,NA,0.651,NA,"5.0"
"5789","WB",2005,2005,3,2,30.9,161,1.2,1.161,"36.5","-5.0"
"5790","EB",2005,2005,3,2,0.5,91,1.5,0.736,"23.9","8.4"
"5791","WB",2005,2005,3,9,53.8,192,2,25.957,"42.2","-9.5"
"5792","WB",2005,2005,3,9,54.5,190,1.7,18.545,"42.0","-8.9"
"5793","WB",2005,2005,3,9,54,189,1.6,13.414,"41.5","-5.7"
"5794","WB",2005,2005,3,9,53.2,187,1.6,10.323,"41.2","-5.8"
"5795","WB",2005,2005,3,15,38.2,167,1.1,2.123,"39.3","-7.2"
"5796","WB",2005,2005,3,15,38.3,176,NA,2.123,NA,"-8.2"
"5797","EB",2005,2005,3,15,0.4,93,1.5,2.067,"22.5","4.5"
"5798","WB",2005,2005,3,26,32.4,162,1.2,2.605,"36.3","-7.4"
"5799","WB",2005,2005,3,26,NA,NA,NA,2.605,NA,"-9.8"
"5800","EB",2005,2005,3,26,0.3,94,1.5,3.426,"21.9","7.1"
"5801","EB",2005,2005,3,29,1.9,69,3.6,97.556,"17.8","2.2"
"5802","EB",2005,2005,3,29,2,68,3.4,104.662,"17.3","3.1"
"5803","EB",2005,2005,3,29,1.6,74,2.9,50.675,"18.1","-2.1"
"5804","WB",2005,2005,4,2,44.1,177,1.5,7.219,"37.9","-6.6"
"5805","EB",2005,2005,4,2,0.3,82,1.9,8.267,"19.1","1.0"
"5806","EB",2005,2005,4,2,0.4,80,2.1,12.428,"19.2","3.2"
"5807","WB",2005,2005,4,2,42.1,174,1.8,10.928,"39.3","-9.7"
"5808","EB",2005,2005,4,3,0.8,75,2.7,58.602,"19.2","1.2"
"5809","WB",2005,2005,4,3,42.6,176,2.2,50.477,"40.5","-10.7"
"5810","EB",2005,2005,4,3,1.3,65,3.4,168.275,"17.8","0.8"
"5811","WB",2005,2005,4,3,37.7,163,2.8,159.131,"39.0","-10.2"
"5812","EB",2005,2005,4,4,0.9,71,2.6,51.383,"18.0","0.5"
"5813","WB",2005,2005,4,4,40.3,170,2.3,51.949,"38.3","-12.9"
"5814","EB",2005,2005,4,5,0.4,77,2.3,13.787,"18.6","2.3"
"5815","WB",2005,2005,4,5,41.9,172,1.8,13.844,"39.3","-7.7"
"5816","EB",2005,2005,4,13,0.2,87,1.7,3.68,"19.0","3.7"
"5817","WB",2005,2005,4,13,35.1,172,1.4,3.992,"35.8","-8.4"
"5818","WB",2005,2005,4,20,23.6,175,1.3,2.18,"35.3","-11.2"
"5819","WB",2005,2005,4,21,26.3,174,1.2,3.963,"35.8","-5.0"
"5820","EB",2005,2005,4,21,0.1,91,1.5,4.473,"20.6","5.1"
"5821","WB",2005,2005,4,26,40.9,185,2,13.532,"37.6","-11.6"
"5822","EB",2005,2005,4,26,0.05,86,2,12.428,"18.3","1.9"
"5823","WB",2005,2005,4,26,42.4,179,1.6,11.72,"37.3","-8.4"
"5824","WB",2005,2005,4,26,NA,NA,NA,11.72,NA,"-14.3"
"5825","EB",2005,2005,4,28,0.2,79,2.9,50.307,"18.4","1.9"
"5826","EB",2005,2005,4,28,0.3,78,3.1,79.41,"18.4","0.8"
"5827","EB",2005,2005,4,29,0.1,82,2.5,30.999,"18.4","-0.1"
"5828","WB",2005,2005,5,8,28.8,182,1.6,14.948,"35.8","-6.6"
"5829","WB",2005,2005,5,10,27.2,174,1.5,5.662,"35.9","-7.3"
"5830","WB",2005,2005,5,10,NA,NA,NA,5.662,NA,"-11.2"
"5831","EB",2005,2005,5,10,0.05,89,1.8,6.37,"18.6","3.9"
"5832","EB",2005,2005,5,10,0.05,90,1.8,6.37,"18.9","3.1"
"5833","EB",2005,2005,5,17,0.05,94,1.7,3.85,"19.0","5.0"
"5834","WB",2005,2005,5,17,21.4,171,1.4,3.454,"35.1","-8.8"
"5835","EB",2005,2005,5,26,0.05,85,2.5,32.104,"17.6","3.2"
"5836","WB",2005,2005,5,26,23.5,166,2.4,59.989,"32.1","-9.8"
"5837","EB",2005,2005,5,26,0.1,75,3.7,123.46,"15.7","1.9"
"5838","WB",2005,2005,5,26,25.7,161,2.7,118.279,"31.9","-12.0"
"5839","EB",2005,2005,5,27,0.05,83,2.6,30.348,"16.4","1.9"
"5840","WB",2005,2005,5,27,31.1,175,2.1,26.64,"33.5","-10.8"
"5841","WB",2005,2005,5,31,24.9,169,1.4,5.804,"33.8","-9.1"
"5842","EB",2005,2005,5,31,0.05,91,1.9,6.455,"17.9","4.9"
"5843","EB",2005,2005,5,31,NA,NA,NA,6.455,NA,"5.0"
"5844","EB",2005,2005,6,14,0.05,90,1.8,0.736,"20.3","9.6"
"5845","EB",2005,2005,6,14,NA,NA,NA,0.736,NA,"9.6"
"5846","WB",2005,2005,6,14,3.2,174,1.6,0.793,"31.3","-4.0"
"5847","WB",2005,2005,6,14,3.3,175,NA,0.793,NA,NA
"5848","WB",2005,2005,6,30,0.5,174,1.5,0.764,"31.2","-1.4"
"5849","EB",2005,2005,6,30,0.05,90,1.8,0.595,"21.4","15.1"
"5850","WB",2005,2005,7,13,0.2,157,1.2,0.396,"29.6","-0.3"
"5851","WB",2005,2005,7,13,NA,NA,NA,0.396,NA,"-1.5"
"5852","EB",2005,2005,8,30,0.1,74,2.3,0.17,"21.3","32.8"
"5853","EB",2005,2005,8,30,NA,NA,NA,0.17,NA,"30.8"
"5854","WB",2005,2005,8,30,0.2,157,2.1,0.651,"28.7","7.5"
"5855","WB",2005,2006,10,13,11.8,185,2.2,5.407,"34.2","-13.6"
"5856","EB",2005,2006,10,13,0.05,82,2.6,5.322,"19.0","6.5"
"5857","WB",2005,2006,10,18,13.9,183,2.2,6.794,"34.0","-9.2"
"5858","WB",2005,2006,10,18,NA,NA,NA,6.794,"33.0","-8.6"
"5859","EB",2005,2006,10,18,0.05,81,2.5,6.341,"18.9","4.7"
"5860","EB",2005,2006,10,25,0.05,82,2.3,6.908,"18.9","5.8"
"5861","WB",2005,2006,10,25,12.1,179,2,7.078,"34.8","-9.3"
"5862","WB",2005,2006,10,25,NA,NA,NA,7.078,NA,"-8.9"
"5863","EB",2005,2006,11,1,0.1,82,2.2,2.689,"19.3","7.0"
"5864","EB",2005,2006,11,1,NA,NA,NA,2.689,NA,"6.3"
"5865","WB",2005,2006,11,1,15,170,1.9,3.114,"33.3","-10.5"
"5866","EB",2005,2006,11,8,0.05,86,1.9,2.52,"19.6","6.6"
"5867","WB",2005,2006,11,8,12.2,167,1.5,2.548,"32.0","-7.9"
"5868","WB",2005,2006,11,8,NA,NA,NA,2.548,NA,"-7.7"
"5869","EB",2005,2006,11,15,0.05,85,1.8,2.35,"19.8","6.0"
"5870","WB",2005,2006,11,15,15.7,169,1.4,2.435,"33.2","-8.0"
"5871","WB",2005,2006,11,16,15.7,162,1.7,NA,"30.7","-6.0"
"5872","WB",2005,2006,11,16,16.9,165,1.5,5.039,"31.3","-6.4"
"5873","EB",2005,2006,11,17,0.1,78,2.3,NA,"18.7","3.6"
"5874","EB",2005,2006,11,17,0.05,77,2.4,20.695,"18.6","0.4"
"5875","EB",2005,2006,11,19,0.05,81,1.9,NA,"18.5","1.8"
"5876","EB",2005,2006,11,22,0.05,83,1.8,NA,"18.8","3.4"
"5877","EB",2005,2006,11,22,0.5,71,3.5,79.126,"17.4","3.1"
"5878","EB",2005,2006,11,23,0.05,75,2.3,14.325,"18.2","0.0"
"5879","WB",2005,2006,11,23,32.2,163,2.1,17.156,"32.3","-11.3"
"5880","EB",2005,2006,11,28,0.3,80,1.9,3.256,"19.0","1.6"
"5881","WB",2005,2006,11,28,27.5,156,1.7,3.652,"32.4","-6.4"
"5882","EB",2005,2006,12,1,0.3,71,2.5,NA,"20.5","-1.9"
"5883","WB",2005,2006,12,1,28.8,156,2,NA,"34.1","-11.1"
"5884","EB",2005,2006,12,2,0.3,62,3.5,NA,"19.5","-2.4"
"5885","WB",2005,2006,12,2,26.3,137,2.9,NA,"32.0","-14.5"
"5886","EB",2005,2006,12,3,0.1,67,2.4,NA,"20.5","-2.5"
"5887","WB",2005,2006,12,3,33.3,146,2.2,NA,"33.0","-13.7"
"5888","WB",2005,2006,12,6,31.1,152,1.6,4.247,"33.0","-9.4"
"5889","EB",2005,2006,12,6,0.1,74,1.9,4.105,"19.2","2.3"
"5890","EB",2005,2006,12,6,0.1,74,NA,4.105,NA,NA
"5891","WB",2005,2006,12,13,31.4,149,1.4,1.953,"32.9","-8.9"
"5892","EB",2005,2006,12,13,0.3,79,1.6,1.755,"19.9","5.2"
"5893","EB",2005,2006,12,13,NA,NA,NA,1.755,NA,"1.7"
"5894","WB",2006,2006,1,11,38,150,1.2,1.529,"32.9","-9.1"
"5895","EB",2006,2006,1,11,1,88,1.5,1.161,"20.3","2.3"
"5896","EB",2006,2006,1,11,0.9,84,NA,1.161,NA,NA
"5897","EB",2006,2006,1,11,0.9,84,NA,1.161,NA,NA
"5898","EB",2006,2006,1,11,1,88,NA,1.161,"21.0",NA
"5899","WB",2006,2006,1,11,44.1,147,NA,1.529,NA,"-8.5"
"5900","WB",2006,2006,1,11,44.2,145,NA,1.529,NA,NA
"5901","WB",2006,2006,1,20,64.6,146,1.7,6.341,"38.0","-9.7"
"5902","EB",2006,2006,1,20,1.1,70,1.7,5.379,"21.1","-2.3"
"5903","EB",2006,2006,1,20,1.1,70,NA,5.351,NA,NA
"5904","EB",2006,2006,1,20,1.1,71,NA,5.351,NA,NA
